"","obj","obj.approx","method","IT","time","n","p"
"172",0.49546287517726,0.491464021749031,"LB_APPROX",5,97.7119999999995,100,20
"182",0.481720562704659,0.465348685916833,"EXACT",5,1502.976,100,20
"56",0.581750098320527,0.543270266261649,"RAND",5,17.6820000000007,100,20
"115",0.057207640631557,0.0571924504506844,"LB_APPROX",1,0.0580000000009022,150,6
"23",0.0563301615465637,0.0563301237680394,"EXACT",1,14.8189999999995,150,6
"28",0.0564468140149704,0.0564448866401471,"RAND",1,3.26399999999921,150,6
"116",0.0532076425610735,0.0532074707089224,"LB_APPROX",2,0.0619999999980791,150,6
"123",0.0531762022293712,0.0531758317227998,"EXACT",2,18.7139999999999,150,6
"541",0.0534526509733273,0.0534438104473223,"RAND",2,3.19700000000012,150,6
"133",0.055889896107941,0.0558898217757028,"LB_APPROX",3,0.0640000000021246,150,6
"144",0.0558737469252499,0.0558729875797012,"EXACT",3,18.2779999999984,150,6
"42",0.0562305657149614,0.0562254365629343,"RAND",3,3.28399999999965,150,6
"153",0.049022018344501,0.0490219343047141,"LB_APPROX",4,0.0600000000013097,150,6
"163",0.0489871881919859,0.048986880625684,"EXACT",4,19.9209999999985,150,6
"92",0.0491202998275767,0.0491155426775691,"RAND",4,3.28499999999985,150,6
"173",0.0550670598083493,0.0550670517954532,"LB_APPROX",5,0.0629999999982829,150,6
"183",0.0550891088300282,0.0550883426730529,"EXACT",5,19.8919999999998,150,6
"89",0.0551381327411615,0.0551365505044772,"RAND",5,3.34000000000015,150,6
"117",0.10659760303418,0.106593920790286,"LB_APPROX",1,0.0679999999993015,150,10
"24",0.1062884335947,0.106285673380524,"EXACT",1,263.546999999999,150,10
"91",0.10774107393394,0.107653035087777,"RAND",1,3.69599999999991,150,10
"118",0.0964925540699624,0.0964890527940109,"LB_APPROX",2,0.0869999999995343,150,10
"124",0.0961293956752432,0.0961273574228105,"EXACT",2,132.535,150,10
"29",0.0973934057973229,0.0972408128243882,"RAND",2,4.85800000000017,150,10
"134",0.113024932808415,0.113021078869554,"LB_APPROX",3,0.0790000000015425,150,10
"145",0.11259173571018,0.112587613414095,"EXACT",3,380.404999999999,150,10
"41",0.113927167660561,0.11384436895346,"RAND",3,4.98799999999756,150,10
"154",0.0949488667276114,0.094944259462357,"LB_APPROX",4,0.0900000000001455,150,10
"164",0.0944877007524701,0.094430108574006,"EXACT",4,611.919000000002,150,10
"45",0.0972007869109855,0.0967786468314724,"RAND",4,4.375,150,10
"174",0.111743771297859,0.111734476422446,"LB_APPROX",5,0.0709999999999127,150,10
"184",0.111090489799792,0.111087341470063,"EXACT",5,182.414999999997,150,10
"72",0.113158137888797,0.113010885380491,"RAND",5,4.28800000000047,150,10
"119",0.247923001868473,0.247557915701721,"LB_APPROX",1,21.857,150,20
